MEDCOD,MEFCOD,MEDNOM,MEDPRES,MEDCNC,MEDTIP,MEDPET,MEDFF,MEDEST,MEDESTVTA,MEDFACTPER,MEDTRANAC,MEDTRALOC,MEDCOMP,MEDPS,MEDCS,MEDHI,MEDACT,MEDINDVCTO,PRDPREADQ,PRDPREDIST,PRDPREOPE,PRDINDACT,PRDSTKMIN,PRDSTKMAX,PRDPTOREP,PRDSIT,PRDADI,PRDFECHULT,MEDREGSAN,PREADQ_DO,PREDIS_DO,PREOPE_DO,PRDTIPOMED,MEDNOMABR,MEDNARCOT,MNARCOT,TIPONC,FECULTPREC,CODIGO_SIG,FECHAVRS,PRDSTKPROM,_NullFlags
00830,,AMPICILINA SODICA,,1 g,M,P,INYECT,_,,,,,,_,_,1,1,S,0.853253,0.938578,1.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700090007,,0,b'\x00'
00834,,AMPICILINA SODICA,,500 mg,M,P,INYECT,_,,,,,,_,_,_,1,S,1.34321,1.511111,1.7,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.34321,1.511111,1.7,X,,,,,2018-05-10,580700090004,,0,b'\x00'
00859,,ANASTROZOL,,1 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.104,0.117,0.12,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600050002,,0,b'\x00'
00885,,ARTESUNATO,,250 mg,M,P,TABLET,E,,,,,,_,_,_,1,S,4.285267,4.285267,4.285267,,0,0,0,1,N,2018-08-31 15:04:43.999000,,6.93,7.796,8.66,X,,,,,2018-05-10,582100060001,,0,b'\x00'
00886,,ARTESUNATO,,50 mg,M,P,TABLET,E,,,,,,_,_,_,1,S,1.77436,1.77436,1.77436,,0,0,0,1,N,2018-08-31 15:04:43.999000,,2.0,2.0,2.0,X,,,,,2018-05-10,582100060003,,0,b'\x00'
00890,,ASPARAGINASA,,10000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,155.61,160.0,167.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600570001,,0,b'\x00'
00900,,ATENOLOL,,100 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.037,0.039,0.04,,0,0,0,1,N,2018-08-31 15:04:43.999000,NG-255-,0.0,0.0,0.0,X,,,,,2018-05-10,583100370001,,0,b'\x00'
00902,,ATORVASTATINA,,10 mg,M,_,TABLET,_,,,,,,_,_,_,1,S,0.046,0.052,0.06,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583200130002,,0,b'\x00'
00903,,ATORVASTATINA (COMO SAL CALCICA),,20 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.046831,0.058539,0.06,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583200130001,,0,b'\x00'
00904,,ATORVASTATINA (COMO SAL CALCICA),,40 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.15,0.168,0.18,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583200130003,,0,b'\x00'
00908,,ATROPINA SULFATO,1 mL,250 µg/mL (0.25 mg/mL),M,P,INYECT,S,,,,,,_,_,_,1,S,0.35,0.394,0.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580400170001,,0,b'\x00'
00909,,ATROPINA SULFATO,1 mL,500 µg/mL (0.5 mg/mL),M,P,INYECT,S,,,,,,_,_,_,1,S,0.5,0.55,0.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580400170002,,0,b'\x00'
00910,,ATROPINA SULFATO,1 mL,1 mg/mL,M,P,INYECT,_,,,,,,1,1,1,1,S,1.0,1.125,1.25,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,580400170003,,0,b'\x00'
00914,,ATROPINA SULFATO (SOLUCION OFTALMICA),5 mL,10 mg/mL (1 %),M,P,SOLUCI,_,,,,,,_,_,_,1,S,11.441806,13.730167,14.3,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,584400700004,,0,b'\x00'
00921,,AZATIOPRINA,,50 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,582600890001,,0,b'\x00'
00930,,AZITROMICINA,15 mL,200 mg/5 mL,M,P,SUSPEN,_,1,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,581000080006,,0,b'\x00'
00933,,AZITROMICINA,30 mL,200 mg/5 mL,M,P,SUSPEN,_,1,,,,,_,_,_,1,S,3.337,3.59,3.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000080004,,0,b'\x00'
00939,,AZITROMICINA,60 mL,200 mg/5 mL,M,P,SUSPEN,_,1,,,,,_,_,_,1,S,3.3957,4.07484,4.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,581000080002,,0,b'\x00'
00947,,AZITROMICINA,,500 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.341758,0.375934,0.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,1.0,X,,,,,2018-05-10,581000080007,,0,b'\x00'
00987,,BACITRACINA ZINC + NEOMICINA SULFATO,15 g,50000 UI + 500 mg/100 g,M,_,CREMA,_,,,,,,_,_,_,1,S,3.950617,4.444444,5.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,3.950617,4.444444,5.0,X,,,,,2018-05-10,585400350004,,0,b'\x00'
00990,,BACLOFENO,,10 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.32,0.36,0.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,586300020001,,0,b'\x00'
01009,,BECLOMETASONA DIPROPIONATO,200 DOSIS,250 µg/DOSIS,M,P,AEROSO,_,,,,,,_,_,_,1,S,6.990467,8.38856,8.7,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,585000070002,,0,b'\x00'
01012,,BECLOMETASONA DIPROPIONATO,200 DOSIS,50 µg/DOSIS,M,P,AEROSO,_,,,,,,_,_,_,1,S,6.03,6.79,7.54,,0,0,0,1,N,2018-08-31 15:04:43.999000,EE-01081,0.0,0.0,0.0,X,,,,,2018-07-10,585000070001,,0,b'\x00'
01029,,BENCILPENICILINA PROCAINICA,,1000000 UI,M,P,INYECT,S,,,,,,_,_,_,1,S,0.557,0.627,0.7,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700110003,,0,b'\x00'
01032,,BENCILPENICILINA SODICA,,1000000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,0.343,0.385,0.4,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700170001,,0,b'\x00'
01043,,BENZATINA BENCILPENICILINA,,1200000 UI,M,P,INYECT,_,,,,,,_,_,_,1,S,0.747,0.84,0.9,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,1.0,X,,,,,2018-05-10,580700160003,,0,b'\x00'
01044,,BENZATINA BENCILPENICILINA,,2400000 UI,M,P,INYECT,S,,,,,,_,_,_,1,S,3.6,4.05,4.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,2.0,2.0,2.0,X,,,,,2018-05-10,580700160005,,0,b'\x00'
01045,,BENZATINA BENCILPENICILINA,,600000 UI,M,_,INYECT,_,,,,,,_,_,_,1,S,1.264197,1.422222,1.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.264197,1.422222,1.6,X,,,,,2018-05-10,580700160004,,0,b'\x00'
01053,,BENZOATO DE BENCILO,120 mL,25 g/100 mL (25 %),M,P,LOCION,_,,,,,,_,_,_,1,S,2.09475,2.304225,2.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,1.0,1.0,2.0,X,,,,,2018-05-10,583300950004,,0,b'\x00'
01203,,BETAMETASONA,15 g,50 mg/100 g,M,P,CREMA,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583300990009,,0,b'\x00'
01205,,BETAMETASONA (COMO DIPROPIONATO),20 g,50 mg/100 g (0.05 %),M,P,CREMA,_,,,,,,_,_,_,1,S,1.023768,1.126145,1.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,1.0,1.0,X,,,,,2018-05-10,583300990002,,0,b'\x00'
01212,,BETAMETASONA VALERATO,5 g,100 mg/100 g,M,_,UNGÜEN,_,,,,,,_,_,_,1,S,0.0,0.0,0.0,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,,583300990023,,0,b'\x00'
01213,,BETAMETASONA (COMO FOSFATO SODICO),1 mL,4 mg/mL,M,P,INYECT,S,,,,,,_,_,_,1,S,0.967,1.088,1.2,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,587100020001,,0,b'\x00'
01228,,BICALUTAMIDA,,150 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,3.72,4.185,4.6,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600070003,,0,b'\x00'
01229,,BICALUTAMIDA,,50 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.291,0.327,0.35,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582600070002,,0,b'\x00'
01242,,BIPERIDENO LACTATO,1 mL,5 mg/mL,M,P,INYECT,S,,,,,,_,_,_,1,S,10.44,11.613,12.5,,0,0,0,1,N,2018-08-31 15:04:43.999000,,8.0,9.0,10.0,X,,,,,2018-05-10,582700090001,,0,b'\x00'
01243,,BIPERIDENO CLORHIDRATO,,2 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.058,0.063,0.07,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,582700090002,,0,b'\x00'
01248,,BISACODILO,,5 mg,M,P,TABLET,_,,,,,,_,_,_,1,S,0.09,0.101,0.11,,0,0,0,1,N,2018-08-31 15:04:43.999000,,0.0,0.0,0.0,X,,,,,2018-05-10,583800140002,,0,b'\x00'
